occurrenceID	measurementValue	measurementType	measurementUnit
EE0493_asv.409	32	sequence reads	
EE0493_asv.411	128	sequence reads	
EE0493_asv.412	14	sequence reads	
EE0493_asv.413	72	sequence reads	
EE0493_asv.414	1299	sequence reads	
EE0493_asv.416	122	sequence reads	
EE0493_asv.419	22	sequence reads	
EE0493_asv.421	21	sequence reads	
EE0493_asv.422	86	sequence reads	
EE0493_asv.423	1473	sequence reads	
EE0493_asv.424	1	sequence reads	
EE0493_asv.425	324	sequence reads	
EE0493_asv.426	1	sequence reads	
EE0493_asv.427	323	sequence reads	
EE0493_asv.429	2167	sequence reads	
EE0493_asv.430	977	sequence reads	
EE0493_asv.431	106	sequence reads	
EE0493_asv.432	408	sequence reads	
EE0493_asv.433	19	sequence reads	
EE0493_asv.434	12	sequence reads	
EE0493_asv.435	17	sequence reads	
EE0493_asv.436	32	sequence reads	
EE0493_asv.438	11	sequence reads	
EE0493_asv.439	329	sequence reads	
EE0493_asv.440	72	sequence reads	
EE0493_asv.441	22	sequence reads	
EE0493_asv.442	190	sequence reads	
EE0493_asv.443	1109	sequence reads	
EE0493_asv.444	83	sequence reads	
EE0493_asv.445	8	sequence reads	
EE0493_asv.447	1	sequence reads	
EE0493_asv.448	43	sequence reads	
EE0493_asv.449	253	sequence reads	
EE0493_asv.450	17	sequence reads	
EE0493_asv.452	86	sequence reads	
EE0493_asv.453	828	sequence reads	
EE0493_asv.454	112	sequence reads	
EE0493_asv.456	1279	sequence reads	
EE0493_asv.457	299	sequence reads	
EE0493_asv.459	38	sequence reads	
EE0493_asv.460	190	sequence reads	
EE0493_asv.461	14	sequence reads	
EE0493_asv.462	52	sequence reads	
EE0493_asv.463	68	sequence reads	
EE0493_asv.464	8	sequence reads	
EE0493_asv.465	176	sequence reads	
EE0493_asv.467	12	sequence reads	
EE0493_asv.468	78	sequence reads	
EE0493_asv.469	50	sequence reads	
EE0493_asv.470	57	sequence reads	
EE0493_asv.472	74	sequence reads	
EE0493_asv.473	122	sequence reads	
EE0493_asv.474	9	sequence reads	
EE0493_asv.478	142	sequence reads	
EE0493_asv.482	27	sequence reads	
EE0493_asv.483	1509	sequence reads	
EE0493_asv.484	58	sequence reads	
EE0493_asv.485	32	sequence reads	
EE0493_asv.489	245	sequence reads	
EE0493_asv.490	184	sequence reads	
EE0493_asv.491	85	sequence reads	
EE0493_asv.492	5	sequence reads	
EE0493_asv.493	175	sequence reads	
EE0493_asv.494	51	sequence reads	
EE0493_asv.495	332	sequence reads	
EE0493_asv.496	93	sequence reads	
EE0493_asv.497	48	sequence reads	
EE0493_asv.498	1686	sequence reads	
EE0493_asv.500	9	sequence reads	
EE0493_asv.501	91	sequence reads	
EE0493_asv.502	46	sequence reads	
EE0493_asv.503	47	sequence reads	
EE0493_asv.504	95	sequence reads	
EE0493_asv.505	150	sequence reads	
EE0493_asv.507	44	sequence reads	
EE0493_asv.508	108	sequence reads	
EE0493_asv.510	1425	sequence reads	
EE0493_asv.511	46	sequence reads	
EE0493_asv.512	1207	sequence reads	
EE0493_asv.513	20	sequence reads	
EE0493_asv.514	1447	sequence reads	
EE0493_asv.515	23	sequence reads	
EE0493_asv.517	61	sequence reads	
EE0493_asv.519	52	sequence reads	
EE0493_asv.520	155	sequence reads	
EE0493_asv.523	506	sequence reads	
EE0493_asv.524	103	sequence reads	
EE0493_asv.527	1514	sequence reads	
EE0493_asv.528	3	sequence reads	
EE0493_asv.529	42	sequence reads	
EE0493_asv.533	249	sequence reads	
EE0493_asv.534	64	sequence reads	
EE0493_asv.535	29	sequence reads	
EE0493_asv.538	14	sequence reads	
EE0493_asv.539	13	sequence reads	
EE0493_asv.541	1208	sequence reads	
EE0493_asv.542	363	sequence reads	
EE0493_asv.543	6	sequence reads	
EE0493_asv.544	197	sequence reads	
EE0493_asv.545	71	sequence reads	
EE0493_asv.546	130	sequence reads	
EE0493_asv.547	46	sequence reads	
EE0493_asv.548	91	sequence reads	
EE0493_asv.550	93	sequence reads	
EE0493_asv.553	4	sequence reads	
EE0493_asv.554	26	sequence reads	
EE0493_asv.556	14	sequence reads	
EE0493_asv.558	22	sequence reads	
EE0493_asv.559	20	sequence reads	
EE0493_asv.560	94	sequence reads	
EE0493_asv.561	3	sequence reads	
EE0493_asv.562	2	sequence reads	
EE0493_asv.563	64	sequence reads	
EE0493_asv.564	23	sequence reads	
EE0493_asv.565	149	sequence reads	
EE0493_asv.566	134	sequence reads	
EE0493_asv.567	103	sequence reads	
EE0493_asv.568	64	sequence reads	
EE0493_asv.569	301	sequence reads	
EE0493_asv.570	1	sequence reads	
EE0493_asv.571	59	sequence reads	
EE0493_asv.572	133	sequence reads	
EE0493_asv.573	86	sequence reads	
EE0493_asv.574	33	sequence reads	
EE0493_asv.575	62	sequence reads	
EE0493_asv.576	70	sequence reads	
EE0493_asv.577	618	sequence reads	
EE0493_asv.578	72	sequence reads	
EE0493_asv.579	232	sequence reads	
EE0493_asv.580	10	sequence reads	
EE0493_asv.581	105	sequence reads	
EE0493_asv.582	158	sequence reads	
EE0493_asv.583	113	sequence reads	
