eventID	materialSampleID	eventDate	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	higherGeography	minimumDepthInMeters	maximumDepthInMeters	sampleSizeValue	sampleSizeUnit	organismQuantity	occurrenceID	organismQuantityType	verbatimIdentification	samplingProtocol	scientificName	scientificNameID	occurrenceStatus	basisOfRecord
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	523	EE0493_asv.59	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	2125	EE0493_asv.61	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	20721	EE0493_asv.62	sequence reads	Metazoa	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Metazoa	urn:lsid:marinespecies.org:taxname:1486573	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	4183	EE0493_asv.63	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	2357	EE0493_asv.65	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	673	EE0493_asv.66	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	2	EE0493_asv.67	sequence reads	Arthropoda	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Arthropoda	urn:lsid:marinespecies.org:taxname:1065	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	461	EE0493_asv.70	sequence reads	Phaeocystis	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Phaeocystis	urn:lsid:marinespecies.org:taxname:115088	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	7	EE0493_asv.71	sequence reads	Arthropoda	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Arthropoda	urn:lsid:marinespecies.org:taxname:1065	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	2866	EE0493_asv.72	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	3022	EE0493_asv.75	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	1580	EE0493_asv.76	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	1071	EE0493_asv.77	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	606	EE0493_asv.78	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	1378	EE0493_asv.79	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	224	EE0493_asv.80	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	1154	EE0493_asv.81	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	5490	EE0493_asv.82	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	397	EE0493_asv.88	sequence reads	Metazoa	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Metazoa	urn:lsid:marinespecies.org:taxname:1486573	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	240	EE0493_asv.89	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	15317	EE0493_asv.90	sequence reads	Arthropoda	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Arthropoda	urn:lsid:marinespecies.org:taxname:1065	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	97	EE0493_asv.91	sequence reads	Pseudo-nitzschia_pseudodelicatissima	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Pseudo-nitzschia pseudodelicatissima	urn:lsid:marinespecies.org:taxname:156548	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	905	EE0493_asv.92	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	710	EE0493_asv.94	sequence reads	Phaeocystis_globosa	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Phaeocystis globosa	urn:lsid:marinespecies.org:taxname:160538	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	343	EE0493_asv.97	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	2317	EE0493_asv.98	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	1917	EE0493_asv.99	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	413	EE0493_asv.100	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
